sentence	predicted_label	True_label
यह जानकारी तेलंगाना के मंत्री केटी रामा राव टीवी चैनल एनडीटीवी से बात करते हुए दी।	SADNESS	DISGUST
बक्तोर क्षेत्र में सोमवार देर रात सेना की नैना पोस्ट हिमस्खलन की चपेट में आ गई।	SADNESS	SADNESS
उन्होंने शहर के लोगों से सड़कों पर नहीं उतरने तथा आगे कुछ बड़े खतरों का सामना करने के लिए पूरी तरह तैयार रहने की भी सलाह दी थी।	SADNESS	SADNESS
उच्च हिमालयी क्षेत्र में स्थित इन गांवों के लोग इस समय शीतकालीन प्रवास पर घाटियों में रहते हैं। 	SADNESS	SADNESS
बीते तीन दिनों में 8 में से पांच अल्पाइन देशों में अलग-अलग जगहों पर एवलांच की 10 से ज्यादा घटनाएं हुईं।	SADNESS	SADNESS
ढाका (वार्ता): बांग्लादेश के मैमनसिंह और नेत्रकोण जिलों में बुधवार को भीषण चक्रवात की चपेट में आकर कम से कम 51 लोगों की मौत हो गई और 700 से अधिक घायल हो गए।	SADNESS	SADNESS
के एसपी मोहम्मद काशिफ ने बताया कि शुरुआती जांच के आधार पर कहा जा सकता है कि बम पहले से ही बस में लगा दिया गया था।	OPTIMISM	ANGER
मीडिया खबरों के मुताबिक आग थेनी जिले के कुरानगनी के जंगल में लगी।	SADNESS	SADNESS
ह्वाइट हाउस ने विज्ञान और तकनीकी के क्षेत्र में पदक वितरण का कार्यक्रम स्थगित कर दिया है।	SADNESS	SADNESS
पूर्वी जापान के काशिमा में भीषण तूफान की चपेट में आए मित्सुई ओएसके लाइंस कंपनी के कार्गो जहाज में सवार लापता हुए २६ लोगों में से १३ की मौत हो गई है।	SADNESS	SADNESS
पहाड़ों में पाला तो मैदान में कोहरा लोगों की मुश्किलें बढ़ा रहा है।	JOY	SYMPATHY/PENSIVENESS
लद्दाख संभाग के लिए भी चेतावनी दी गई है।	SADNESS	SADNESS
एक आतंकवादी सुरक्षाबलों पर ग्रेनेड फेंकते हुए पकड़ा गया।	ANGER	FEAR/ANXIETY
नई दिल्ली।। पहले चरण का मतदान शुरू होते ही नक्सलियों के हमले भी तेज हो गए हैं।	DISGUST	ANGER
मुम्बई में 1993 में हुए बमकांड में सरकारी अधिवक्ता रहे उज्ज्वल निकम को पहले ही लोक अभियोजक नियुक्त किया जा चुका है।	NO-EMOTION	NO-EMOTION
उधर, लोगों का कहना है कि पिछली बार जब बर्फीला तूफान आया था, उससे रालम, पातो, बुई समेत कई गांवों में मकानों की छत उड़ गई थी।	SADNESS	SADNESS
हम पास की एक इमारत में गए और आधे घंटे तक वहां रहे।	SADNESS	SYMPATHY/PENSIVENESS
किमारोन तूफान से पहले फिलीपींस को जांगसेन तूफान ने बुरी तरह झकझोरा था।	SYMPATHY/PENSIVENESS	FEAR/ANXIETY
J&K में फिर एवलॉन्च: कुपवाड़ा में आर्मी पोस्ट पर तैनात 5 जवान लापता, रेस्क्यू जारी	SADNESS	SADNESS
हालांकि रविवार रात आए तूफान से नुकसान की कोई खबर नहीं है।	JOY	JOY
ताजा बर्फ पर यदि थोड़ी सी गर्मी का असर होने लगे तो वह तूफान का रूप ले लेता है।	SADNESS	SADNESS
की चपेट में आई चौकी में रखा सैन्य साजो सामान जरुर क्षतिग्रस्त हुआ है। 	SADNESS	SADNESS
तूफान से अनेक घर ध्वस्त हो गए हैं, कई घरों की छत उड़ कर दूर चली गई व अधिकांश इलाकों में पानी भर गया है।	SADNESS	SYMPATHY/PENSIVENESS
सरकारी विभाग के मुताबिक 6000 से अधिक तालाब वाले बरेली जिले का यह तालाब स्थानीय जिला प्रशासन की सूची में नहीं है।	DISGUST	DISGUST
वाशिंगटन।	NO-EMOTION	NO-EMOTION
navbharat_2005_1_9_985235 यूरोप-अमेरिका में भी मौसम का मिजाज बिगड़ा, 10 मरे	SADNESS	SADNESS
इसमें एक अग्रिम निगरानी सैन्यचौकी बर्फीले तूफान में दब गइ्र थी।	SADNESS	SADNESS
अब तक आग की लपेट में आने से मरने वालों की तादाद छह हो गई है।	SADNESS	SADNESS
न्यू हैंपशायर में 46 हजार लोगों के घरों में बिजली नहीं है।	SADNESS	SADNESS
राहत सामग्री के वितरण के इंतजाम किए गए हैं।	JOY	OPTIMISM
मंत्री खडसे यहां सूखे से निपटने के लिए उठाए जा रहे कदमों की समीक्षा करने आए थे।	OPTIMISM	OPTIMISM
हालांकि अभी तक यह मालूम नहीं हुआ कि आखिरकार कि किसने हमले करवाए।	FEAR/ANXIETY	DISGUST
यहां तक कि यातायात के शोर से उठने वाली ध्वनि तरंगों को सुमधुर संगीत में बदला जा सकेगा।	JOY	JOY
दरअसल, आर्मी का कैम्प एक पहाड़ के नीचे था।	SYMPATHY/PENSIVENESS	SYMPATHY/PENSIVENESS
बुधवार को गुरेज में 2 एवलांच में आर्मी के 14 जवान और सोनमर्ग में एक आर्मी अफसर शहीद हुआ था।	SADNESS	SADNESS
10 मार्च को कारगिल में भी हिमस्‍खलन आया था, जिसमें दो दब गए थे।	SADNESS	SADNESS
हालांकि, उन्हें बाद में बचाया नहीं जा सका।	SADNESS	SADNESS
इस दौरान रेस्क्यू टीम की नजर मेजर की हिलती उंगलियों पर पड़ी और उन्हें सेफ निकाला गया।	SADNESS	SADNESS
: बरसात न होने से किसान जनपद को सूखाग्रस्त घोषित करने की माग कर रहे हैं।	OPTIMISM	OPTIMISM
- अधिकारियों के मुताबिक, इस हफ्ते ठंड बढ़ने से कम से कम 19 लोगों की मौत हो चुकी है। इनमें	SADNESS	SADNESS
फसल खराब हो गई है और मकान नष्ट हो गए हैं।	SYMPATHY/PENSIVENESS	SYMPATHY/PENSIVENESS
वेदर डिपार्टमेंट ने कहा है कि आने वाले दिनों में देश के कई हिस्सों में पारा माइनस 40 डिग्री सेल्सियस तक गिर सकता है। 	FEAR/ANXIETY	FEAR/ANXIETY
एसपी कुपवाड़ा शमशेर सिंह ने बताया कि हिमस्खलन में मारे गए बीकन कर्मचारी की पहचान (47) मंगल प्रसाद सिंह पुत्र शिव राज सिंह, निवासी अयर सरैया, वाराणसी, उत्तर प्रदेश के रूप में हुई है। बता	SADNESS	SADNESS
उत्तराखंड के कई इलाकों जैसे रुद्रप्रयाग, केदारनाथ, उत्तरकाशी, चमोली और पिथौड़ागढ़ में भी हल्की बारिश हुई है।	SYMPATHY/PENSIVENESS	SURPRISE
र्ड्रीम-२०४७ पत्रिका में साइंस मैग्जीन से उद्धत एक शोध रिपोर्ट के मुताबिक इस तथ्य की पुष्टि के लिए एक प्रतिमा के चारों ओर सोनिक क्रिस्टलों को सटा कर रखा गया।	FEAR/ANXIETY	JOY
एक दिन पहले तक पूर्व से ठंडी हवाएं आ रही थीं।	FEAR/ANXIETY	JOY
सबसे ज्यादा असर लंबी दूरी की ट्रेनों पर पड़ा है।	SADNESS	SADNESS
काकसर सेक्टर में हुए  हिमस्खलन की पुष्टि करते हुए रक्षा मंत्रालय के प्रवक्ता ने बताया कि वहां आज सुबह चार बजे के करीब हिमस्खलन हुआ है।	SADNESS	SADNESS
पहली नजर में हजारों किलोमीटर दूर नेस्तनाबूद हुए ईरान के बाम शहर और दिल्ली में जमीन-आसमान का अंतर नजर आता है।	SADNESS	FEAR/ANXIETY
चारों जवान पेट्रोलिंग के लिए निकले थे।	SADNESS	SADNESS
कैरेबियाई आपातकालीन राहत एजेंसी के अनुसार तूफान से 60 हजार लोग बेघर हो गए है तथा पांच से आठ हजार लोग आपातकालीन शिविरों में रह रहे हैं।	SADNESS	SYMPATHY/PENSIVENESS
navbharat_2009_2_25_4184044 कसब के खिलाफ चार्जशीट बुधवार को मुंबई ।। पूरे देश को झकझोर देने वाले मुंबई आतंकी हमलों के सिलसिले में पुलिस बुधवार को 5000 पेज की चार्जशीट दाखिल करेगी।	OPTIMISM	NO-EMOTION
शाम को पारा तेजी से गिरेगा।	SYMPATHY/PENSIVENESS	SADNESS
तूफान से बिजली आपूर्ति पूरी तरह ठप हो गई थी जिससे साढे तीन लाख लोगों को अंधेरे में रातें गुजारनी राष्ट्रपति बराक ओबामा ने जॉर्जिया, अलबामा, नार्थ कैरोलिना, साउथ कैरोलिना और मिसीसिपी में आपात मौसम की घोषणा की है और वहां के गवर्नरों को एहतियात बरतने के आदेश दिए हैं।	SADNESS	SADNESS
खराब मौसम की वजह से ऑफिस और स्कूल-कॉलेज बंद हैं।	SADNESS	SADNESS
९०,००० की जनसंख्या वाले इस छोटे द्वीप में मंगलवार को आए तूफान से जन-जीवन अस्त-व्यस्त हो गया।	SADNESS	SADNESS
ऑफिशियल सोर्सेस ने न्यूज एजेंसी को बताया कि सोमवार को बर्फबारी के चलते एवलॉन्च आए। 	SADNESS	SADNESS
यहां एवलांच में दबे पोर्टर का शव तलाश कर उसे गंगोत्री लाया गया। 	SYMPATHY/PENSIVENESS	SYMPATHY/PENSIVENESS
अभियान में तेजी लाने के लिए ढेर सारी मशीनरी की भी मदद ली जा रही है।	SYMPATHY/PENSIVENESS	SYMPATHY/PENSIVENESS
प्रवक्ता ने बताया कि लद्दाख क्षेत्र के करगिल में न्यूनतम तापमान शून्य से नीचे 15 डिग्री दर्ज किया गया जबकि पिछली रात को यह 16.4 डिग्री सेल्सियस रहा था।	SADNESS	SADNESS
सोनमर्ग के आसपास चार से पांच गांव हैं।	NO-EMOTION	NO-EMOTION
इसके बाद से माउंट एवरेस्ट के लिए अभियानों में भारी कमी आई है।अक्टूबर	SADNESS	SADNESS
जानकारी के मुताबिक, मौसम विभाग ने लेह और कश्मीर के बाकी हिस्सों में शुक्रवार को हिमस्‍खलन की चेतावनी जारी करते हुए लोगों को इन इलाकों में नहीं जाने को कहा था।	SADNESS	SADNESS
धूप निकलने से लोगों को राहत मिली।	JOY	JOY
मौसम में फिलहाल कोई खास बदलाव होने की उम्मीद नहीं है।	JOY	SYMPATHY/PENSIVENESS
तारीख--अधिकतम	NO-EMOTION	NO-EMOTION
इसके बाद ज्वालामुखी के आसपास के पहाड़ों से चट्टानें गिरने लगीं। 	SADNESS	SADNESS
समाचार एजेंसी दोगान के अनुसार इस्तांबुल के गवर्नर के कार्यालय ने एक बयान में कहा, ‘धमाके के तरीके, विस्फोट करने वाले और विस्फोट के कारणों की जांच की जा रही है।’	FEAR/ANXIETY	OPTIMISM
रविवार को वहां का तापमान 38 से 42 डिग्री के बीच था।	SADNESS	DISGUST
इसके बाद से ही सुपरमार्केट में खाने-पीने के सामनों को खरीदने वालों की लंबी कतारें लग गईं।	SADNESS	SADNESS
सिपाही सुजीत अभी डॉक्टर्स की देखरेख में हैं।	SYMPATHY/PENSIVENESS	SYMPATHY/PENSIVENESS
केदारताल ट्रैक पर एवलांच में दबे पोर्टर का शव मिला 	FEAR/ANXIETY	FEAR/ANXIETY
ट्रैकिंग दल के साथ गए गाइड मुकेश पंवार ने बताया कि खराब मौसम में एवलांच आने के कारण यह हादसा हुआ था।	SADNESS	SADNESS
navbharat_2003_4_15_43486572 तूफान से देश भर में तबाही, 8 लोग मरे	SADNESS	SYMPATHY/PENSIVENESS
200 किमी से अधिक की रफ्तार की	NO-EMOTION	FEAR/ANXIETY
यहां फंसे जवानों को रेस्क्यू टीम ने कड़ी मशक्कत के बाद सेफ निकाल लिया।	JOY	JOY
अमेरिका के पूर्वोत्तर तटीय क्षेत्र में हफ्तेभर के भीतर दूसरी बार बर्फीले तूफान ने दस्तक दी।	SADNESS	SADNESS
इसके चलते खरीफ फसलों की तैयारी पर ग्र्रहण लगता दिख रहा है।	SADNESS	FEAR/ANXIETY
एएनआई के अनुसार, जिले के बांटिगू क्षेत्र में यह हमला हुआ है।	FEAR/ANXIETY	SADNESS
श्रीनगर में अधिकतम तापमान 7.9 व न्यूनतम माइनस 3.2 डिग्री सेल्सियस रिकॉर्ड किया गया।	SADNESS	SADNESS
पहला सबसे बड़ा झटका अलास्का क्षेत्र के चिनियाक से 250 किलोमीटर दूर दक्षिण-पूर्व में आया जहां रिचर स्केल पर इसकी तीव्रता 8.1 आंकी गई।	SADNESS	SADNESS
जिसके कारण राहगीरों को परेशानी का सामना करना पड़ रहा है।	SADNESS	SADNESS
आग की वजह से भारी नुकसान झेल रहे उत्तराखंड के लिए बारिश भारी राहत लेकर आई है।	SADNESS	SURPRISE
सो रहे लोग जाग उठे।	SADNESS	SADNESS
कनेक्टीकट और मैसाचुसैट्स क्षेत्र में भी सड़कों पर वाहन चलाने पर प्रतिबंध लगाया गया है और लोगों को घरों में रहने का निर्देश दिया है।	SADNESS	SADNESS
13 से 15 फरवरी तक प्रदेश के मैदानी और मध्य पर्वतीय क्षेत्रों में मौसम शुष्क रहेगा।	JOY	JOY
सेना के प्रवक्ता ने कहा कि विजय तमिलनाडु के वल्लारामपुरम क्षेत्र का रहने वाला था।	SYMPATHY/PENSIVENESS	SYMPATHY/PENSIVENESS
हालांकि सेना ने बजाव कार्य के पहले ही दिन बर्फीले तूूफान में ही लापता हो चुके सिपाही सुजीत को ढूंढ़ निकाला था।	SYMPATHY/PENSIVENESS	SYMPATHY/PENSIVENESS
इसके पहले स्वीडिश स्कीइर की हिमस्खलन में मौत हो चुकी है।	SADNESS	SADNESS
हिमस्खलन में शहीद जवानों की पहचान हवलदार कमलेश कुमार, नायक बलवीर व सिपाही राजेन्द्र के रूप में हुई है।	SADNESS	SADNESS
अमेरिका के उत्तरी पूर्वी क्षेत्र में आए जबर्दस्त बर्फीले तूफान से छह करोड़ से भी ज्यादा लोग प्रभावित हुए हैं।	SADNESS	SADNESS
इससे पहले 6 जनवरी को भी तापमान इसी स्तर पर पहुंच गया था।	SADNESS	SADNESS
वेदर डिपार्टमेंट ने घाटी के कुपवाड़ा, बांदीपुरा, बारामूला, गांदेरबाल, कुलगाम और करगिल में बड़े एवलांच का अलर्ट जारी किया।	FEAR/ANXIETY	FEAR/ANXIETY
बचाव के उपाय सीबीआरआई निदेशक रहे इयंगर ने अपने लेखों में खासतौर से दिल्ली को होने वाले नुकसान की ओर इशारा किया है।	SADNESS	SYMPATHY/PENSIVENESS
देश सेवा के लिए पहले पति और अब बेटे को खोने के गम में शहीद की मां लाखो देवी बेसुध पड़ी हैं।	SADNESS	SADNESS
दोनों की हालत स्थिर है।	SYMPATHY/PENSIVENESS	SYMPATHY/PENSIVENESS
कुछ महीनों में तुर्की आतंकवादियों के निशाने पर रहा है।	OPTIMISM	SADNESS
लोगों ने जमकर जरूरी सामानों की खरीदारी की।	SURPRISE	SURPRISE
ढाका	NO-EMOTION	NO-EMOTION
बताया कि 168 घर तबाह हो गए और 340 मवेशी मारे इस बीच, परवान प्रांत के प्रांतीय गवर्नर मोहम्मद असीम ने बताया कि प्रांत के दो जिलों में हिमस्खलनों से 16 लोगों की मौत हो गई जबकि आठ अन्य घायल हैं।	SADNESS	SADNESS
पाकिस्तान के आतंकी संगठन जैश-ए-मोहम्मद के ये आतंकवादी भारी मात्रा में हथियारों से लैस थे।	DISGUST	FEAR/ANXIETY
यह हिमस्खलन कुसात्सु-माची इंटरनेशनल स्की रिसॉर्ट में हुआ।	SADNESS	SADNESS
navbharat_2002_1_2_1597240473 साल बाद भी कंपकंपी आती है गुजरात में भूकंप के नाम से	SADNESS	SADNESS
पवन देव ने बताया कि छत्तीसगढ पुलिस बल के जवान छोटी बस में सवार होकर मतदान दलों को दंतेवाडा जिले के ही सुकमा गांव छोडने गए थे।	JOY	NO-EMOTION
यहां 13 हजार टूरिस्ट होटलों और गेस्ट हाउस में हैं।	SADNESS	SADNESS
अलग-अलग मीडिया रिपोर्ट्स में 6 श्रद्धालुओं की मौत की बात सामने आ रही है।	OPTIMISM	SADNESS
शनिवार को उत्तराखंड के मुख्य सचिव ने उत्तराखंड के जंगलों में लगी आग की घटना को लेकर आलाधिकारियों के साथ समीक्षा बैठक की।	OPTIMISM	OPTIMISM
डीआईजी के मुताबिक, नक्सलियों ने घात लगाकर यह हमला किया।	ANGER	ANGER
तहसील मुख्यालय में तहसीलदार जीत राम और थाना प्रभारी रोहतास सागर ने बताया कि बर्फीला तूफान आने के बाद प्रशासन को अलर्ट कर दिया गया है।	SYMPATHY/PENSIVENESS	SYMPATHY/PENSIVENESS
केप कैनेवरल (एपी): कोलंबिया हादसे के बाद नासा की दोबारा अंतरिक्ष शटल अभियान शुरू करने की योजना को अमेरिका में सप्ताहांत में आए भयंकर तूफान से गहरा झटका लगने की आशंका उत्पन्न हो गई है।	SYMPATHY/PENSIVENESS	SADNESS
उस पर एक आरोप बगैर टिकट लिए रेलवे स्टेशन के अंदर घुसने का भी लगाया गया है।	NO-EMOTION	NO-EMOTION
हथियारों से लैस वाहन कंपाउंड में भेजे गए , जबकि हवाई अटैक के लिए हेलिकॉप्टर भी तैनात किए गए।	SADNESS	SURPRISE
फ्रांस ने पोतों और विमानों की पेशकश की है जबकि कुछ ही महीने पहले सूनामी का कहर झेल चुके श्रीलंका ने 25 हजार डॉलर की मदद की है।	SADNESS	JOY
तहसील राजातालाब पहुंच कर धरना प्रदर्शन किया।	OPTIMISM	SYMPATHY/PENSIVENESS
रेड्डी ने बताया कि ग्रेनेडा में 100 से अधिक भारतीय अपने परिवारों के साथ रहते हैं और इनमें से अधिकतर व्यापारी हैं लेकिन इस तूफान से वह पूरी तरह से सुरक्षित हैं।	SADNESS	JOY
मैक्सिको की खाड़ी से ग्रेट लेक्स तक आए इस बर्फीले तूफान का सबसे ज्यादा असर क्रिसमस व नववर्ष की छुट्टियां मनाने वालों पर पड़ा है। 	SADNESS	SADNESS
यहां एवलांच में दबे पोर्टर का शव तलाश कर उसे गंगोत्री लाया गया। 	SYMPATHY/PENSIVENESS	SYMPATHY/PENSIVENESS
हालांकि मौसम के मिजाज को देखते हुए गोमुख की ओर पूर्वाह्न 11 बजे तक ही पर्यटकों को जाने की अनुमति दी जा रही है। 	JOY	JOY
तूफान की वजह से पेइचिंग-गुआंगझोऊ मुख्य मार्ग बंद हो गया है।	SADNESS	SADNESS
मेजर अमित सागर इसमें शहीद हो गए, बाकी सैनिकों को बचा लिया गया।	JOY	JOY
आग ने इस तीन मंजिला बिल्डिंग को देखते ही देखते अपनी चपेट में ले लिया।	SYMPATHY/PENSIVENESS	FEAR/ANXIETY
भीषण ठंड में बिजली गुल होने से खासतौर पर ग्रामीण इलाकों में रहने वाले लोगों को खासी दिक्कतों का सामना करना पड़ रहा है।	SADNESS	SADNESS
'डॉन' अखबार के अनुसार, चितराल में पिछले दो दिनों से भारी बर्फबारी हो रही है।	SADNESS	SADNESS
गौरतलब है कि जिस जगह पर हादसा हुआ वहां पर रात का तापमान माइनस 42 डिग्री तक गिर जाता जबकि दिन का तापमान भी माइनस 25 डिग्री रहता है।	SADNESS	SADNESS
अभी गोदावरी और कृष्णा नदी से पानी लाया जा रहा है, जोकि शहर से करीब 200 किलोमीटर दूर है।	SADNESS	SADNESS
पर्वतीय इलाकों में भूस्खलन भी हुए हैं जिससे जानमाल का काफी नुकसान हुआ है।	SADNESS	SADNESS
इसकी जानकारी मिलते ही मंगलवार सुबह सेना ने बड़े पैमाने पर राहत अभियान छेड़ दिया।	SADNESS	SADNESS
पाकिस्तान ने कहा कि हमले के साजिशकर्ताओं को पहचान लिया गया है।	OPTIMISM	OPTIMISM
उत्तर-पश्चिमी इंग्लैंड में कार्लिस्ले शहर का मध्य भाग पानी से भर गया है और स्थानीय लोगों को अपने मकानों के ऊपरी हिस्से में शरण लेनी पड़ी है।	SADNESS	SADNESS
